Lat(X),Lng(Y),Elevation(Z)
27.961065,86.897623,7615.0
27.9620854,86.897623,7586.0
27.9631058,86.897623,7485.0
27.9641262,86.897623,7383.0
27.9651466,86.897623,7285.0
27.966167,86.897623,7196.0
27.9671874,86.897623,7112.0
27.9682079,86.897623,7013.0
27.9692283,86.897623,6898.0
27.9702487,86.897623,6844.0
27.9712691,86.897623,6785.0
27.9722895,86.897623,6719.0
27.9733099,86.897623,6685.0
27.9743303,86.897623,6619.0
27.9753507,86.897623,6553.0
27.9763711,86.897623,6503.0
27.9773915,86.897623,6465.0
27.9784119,86.897623,6431.0
27.9794323,86.897623,6395.0
27.9804528,86.897623,6378.0
27.9814732,86.897623,6375.0
27.9824936,86.897623,6389.0
27.983514,86.897623,6454.0
27.9845344,86.897623,6526.0
27.9855548,86.897623,6596.0
27.9865752,86.897623,6652.0
27.9875956,86.897623,6719.0
27.988616,86.897623,6811.0
27.9896364,86.897623,6911.0
27.9906568,86.897623,7010.0
27.9916772,86.897623,7100.0
27.9926977,86.897623,7216.0
27.9937181,86.897623,7294.0
27.9947385,86.897623,7329.0
27.9957589,86.897623,7302.0
27.9967793,86.897623,7206.0
27.9977997,86.897623,7117.0
27.9988201,86.897623,7016.0
27.9998405,86.897623,6918.0
28.0008609,86.897623,6796.0
28.0018813,86.897623,6702.0
28.0029017,86.897623,6609.0
28.0039221,86.897623,6526.0
28.0049426,86.897623,6437.0
28.005963,86.897623,6334.0
28.0069834,86.897623,6220.0
28.0080038,86.897623,6106.0
28.0090242,86.897623,6067.0
28.0100446,86.897623,6057.0
28.011065,86.897623,6054.0
27.961065,86.89864340816327,7626.0
27.9620854,86.89864340816327,7537.0
27.9631058,86.89864340816327,7437.0
27.9641262,86.89864340816327,7337.0
27.9651466,86.89864340816327,7243.0
27.966167,86.89864340816327,7156.0
27.9671874,86.89864340816327,7070.0
27.9682079,86.89864340816327,6961.0
27.9692283,86.89864340816327,6868.0
27.9702487,86.89864340816327,6810.0
27.9712691,86.89864340816327,6748.0
27.9722895,86.89864340816327,6692.0
27.9733099,86.89864340816327,6646.0
27.9743303,86.89864340816327,6564.0
27.9753507,86.89864340816327,6524.0
27.9763711,86.89864340816327,6493.0
27.9773915,86.89864340816327,6461.0
27.9784119,86.89864340816327,6434.0
27.9794323,86.89864340816327,6413.0
27.9804528,86.89864340816327,6399.0
27.9814732,86.89864340816327,6392.0
27.9824936,86.89864340816327,6412.0
27.983514,86.89864340816327,6473.0
27.9845344,86.89864340816327,6531.0
27.9855548,86.89864340816327,6600.0
27.9865752,86.89864340816327,6663.0
27.9875956,86.89864340816327,6719.0
27.988616,86.89864340816327,6807.0
27.9896364,86.89864340816327,6913.0
27.9906568,86.89864340816327,7015.0
27.9916772,86.89864340816327,7114.0
27.9926977,86.89864340816327,7235.0
27.9937181,86.89864340816327,7333.0
27.9947385,86.89864340816327,7364.0
27.9957589,86.89864340816327,7306.0
27.9967793,86.89864340816327,7204.0
27.9977997,86.89864340816327,7119.0
27.9988201,86.89864340816327,7018.0
27.9998405,86.89864340816327,6905.0
28.0008609,86.89864340816327,6805.0
28.0018813,86.89864340816327,6713.0
28.0029017,86.89864340816327,6623.0
28.0039221,86.89864340816327,6532.0
28.0049426,86.89864340816327,6458.0
28.005963,86.89864340816327,6346.0
28.0069834,86.89864340816327,6223.0
28.0080038,86.89864340816327,6112.0
28.0090242,86.89864340816327,6074.0
28.0100446,86.89864340816327,6064.0
28.011065,86.89864340816327,6061.0
27.961065,86.89966381632652,7578.0
27.9620854,86.89966381632652,7486.0
27.9631058,86.89966381632652,7385.0
27.9641262,86.89966381632652,7291.0
27.9651466,86.89966381632652,7198.0
27.966167,86.89966381632652,7115.0
27.9671874,86.89966381632652,7024.0
27.9682079,86.89966381632652,6905.0
27.9692283,86.89966381632652,6833.0
27.9702487,86.89966381632652,6774.0
27.9712691,86.89966381632652,6722.0
27.9722895,86.89966381632652,6666.0
27.9733099,86.89966381632652,6590.0
27.9743303,86.89966381632652,6538.0
27.9753507,86.89966381632652,6515.0
27.9763711,86.89966381632652,6489.0
27.9773915,86.89966381632652,6457.0
27.9784119,86.89966381632652,6438.0
27.9794323,86.89966381632652,6431.0
27.9804528,86.89966381632652,6423.0
27.9814732,86.89966381632652,6411.0
27.9824936,86.89966381632652,6437.0
27.983514,86.89966381632652,6497.0
27.9845344,86.89966381632652,6554.0
27.9855548,86.89966381632652,6615.0
27.9865752,86.89966381632652,6679.0
27.9875956,86.89966381632652,6737.0
27.988616,86.89966381632652,6814.0
27.9896364,86.89966381632652,6920.0
27.9906568,86.89966381632652,7023.0
27.9916772,86.89966381632652,7120.0
27.9926977,86.89966381632652,7235.0
27.9937181,86.89966381632652,7357.0
27.9947385,86.89966381632652,7387.0
27.9957589,86.89966381632652,7317.0
27.9967793,86.89966381632652,7215.0
27.9977997,86.89966381632652,7132.0
27.9988201,86.89966381632652,7021.0
27.9998405,86.89966381632652,6922.0
28.0008609,86.89966381632652,6825.0
28.0018813,86.89966381632652,6724.0
