Lat(X),Lng(Y),Elevation(Z)
-25.333216,131.015122,520.0
-25.3338855,131.015122,519.0
-25.3345549,131.015122,520.0
-25.3352244,131.015122,521.0
-25.3358939,131.015122,520.0
-25.3365634,131.015122,520.0
-25.3372328,131.015122,519.0
-25.3379023,131.015122,519.0
-25.3385718,131.015122,519.0
-25.3392412,131.015122,519.0
-25.3399107,131.015122,521.0
-25.3405802,131.015122,522.0
-25.3412496,131.015122,522.0
-25.3419191,131.015122,522.0
-25.3425886,131.015122,522.0
-25.3432581,131.015122,523.0
-25.3439275,131.015122,524.0
-25.344597,131.015122,523.0
-25.3452665,131.015122,523.0
-25.3459359,131.015122,522.0
-25.3466054,131.015122,523.0
-25.3472749,131.015122,522.0
-25.3479444,131.015122,521.0
-25.3486138,131.015122,521.0
-25.3492833,131.015122,522.0
-25.3499528,131.015122,522.0
-25.3506222,131.015122,523.0
-25.3512917,131.015122,523.0
-25.3519612,131.015122,523.0
-25.3526306,131.015122,523.0
-25.3533001,131.015122,522.0
-25.3539696,131.015122,522.0
-25.3546391,131.015122,522.0
-25.3553085,131.015122,523.0
-25.355978,131.015122,522.0
-25.333216,131.0164031764706,518.0
-25.3338855,131.0164031764706,519.0
-25.3345549,131.0164031764706,520.0
-25.3352244,131.0164031764706,519.0
-25.3358939,131.0164031764706,520.0
-25.3365634,131.0164031764706,519.0
-25.3372328,131.0164031764706,519.0
-25.3379023,131.0164031764706,519.0
-25.3385718,131.0164031764706,519.0
-25.3392412,131.0164031764706,521.0
-25.3399107,131.0164031764706,522.0
-25.3405802,131.0164031764706,521.0
-25.3412496,131.0164031764706,521.0
-25.3419191,131.0164031764706,522.0
-25.3425886,131.0164031764706,523.0
-25.3432581,131.0164031764706,523.0
-25.3439275,131.0164031764706,522.0
-25.344597,131.0164031764706,522.0
-25.3452665,131.0164031764706,522.0
-25.3459359,131.0164031764706,522.0
-25.3466054,131.0164031764706,522.0
-25.3472749,131.0164031764706,522.0
-25.3479444,131.0164031764706,522.0
-25.3486138,131.0164031764706,522.0
-25.3492833,131.0164031764706,523.0
-25.3499528,131.0164031764706,521.0
-25.3506222,131.0164031764706,521.0
-25.3512917,131.0164031764706,521.0
-25.3519612,131.0164031764706,520.0
-25.3526306,131.0164031764706,520.0
-25.3533001,131.0164031764706,521.0
-25.3539696,131.0164031764706,521.0
-25.3546391,131.0164031764706,521.0
-25.3553085,131.0164031764706,521.0
-25.355978,131.0164031764706,521.0
-25.333216,131.01768435294116,518.0
-25.3338855,131.01768435294116,519.0
-25.3345549,131.01768435294116,519.0
-25.3352244,131.01768435294116,520.0
-25.3358939,131.01768435294116,521.0
-25.3365634,131.01768435294116,519.0
-25.3372328,131.01768435294116,519.0
-25.3379023,131.01768435294116,520.0
-25.3385718,131.01768435294116,520.0
-25.3392412,131.01768435294116,521.0
-25.3399107,131.01768435294116,522.0
-25.3405802,131.01768435294116,521.0
-25.3412496,131.01768435294116,521.0
-25.3419191,131.01768435294116,521.0
-25.3425886,131.01768435294116,520.0
-25.3432581,131.01768435294116,521.0
-25.3439275,131.01768435294116,520.0
-25.344597,131.01768435294116,521.0
-25.3452665,131.01768435294116,521.0
-25.3459359,131.01768435294116,521.0
-25.3466054,131.01768435294116,521.0
-25.3472749,131.01768435294116,521.0
-25.3479444,131.01768435294116,521.0
-25.3486138,131.01768435294116,521.0
-25.3492833,131.01768435294116,521.0
-25.3499528,131.01768435294116,521.0
-25.3506222,131.01768435294116,520.0
-25.3512917,131.01768435294116,521.0
-25.3519612,131.01768435294116,522.0
-25.3526306,131.01768435294116,521.0
-25.3533001,131.01768435294116,522.0
-25.3539696,131.01768435294116,521.0
-25.3546391,131.01768435294116,521.0
-25.3553085,131.01768435294116,521.0
-25.355978,131.01768435294116,521.0
-25.333216,131.01896552941176,518.0
-25.3338855,131.01896552941176,519.0
-25.3345549,131.01896552941176,519.0
-25.3352244,131.01896552941176,519.0
-25.3358939,131.01896552941176,519.0
-25.3365634,131.01896552941176,519.0
-25.3372328,131.01896552941176,520.0
-25.3379023,131.01896552941176,520.0
-25.3385718,131.01896552941176,519.0
-25.3392412,131.01896552941176,519.0
-25.3399107,131.01896552941176,519.0
-25.3405802,131.01896552941176,520.0
-25.3412496,131.01896552941176,520.0
-25.3419191,131.01896552941176,520.0
-25.3425886,131.01896552941176,521.0
-25.3432581,131.01896552941176,520.0
-25.3439275,131.01896552941176,520.0
-25.344597,131.01896552941176,520.0
-25.3452665,131.01896552941176,520.0
-25.3459359,131.01896552941176,521.0
-25.3466054,131.01896552941176,521.0
-25.3472749,131.01896552941176,522.0
-25.3479444,131.01896552941176,521.0
-25.3486138,131.01896552941176,521.0
-25.3492833,131.01896552941176,521.0
-25.3499528,131.01896552941176,521.0
-25.3506222,131.01896552941176,522.0
-25.3512917,131.01896552941176,522.0
-25.3519612,131.01896552941176,522.0
-25.3526306,131.01896552941176,521.0
-25.3533001,131.01896552941176,521.0
-25.3539696,131.01896552941176,521.0
-25.3546391,131.01896552941176,522.0
-25.3553085,131.01896552941176,523.0
-25.355978,131.01896552941176,523.0
-25.333216,131.02024670588236,519.0
-25.3338855,131.02024670588236,519.0
-25.3345549,131.02024670588236,519.0
-25.3352244,131.02024670588236,520.0
-25.3358939,131.02024670588236,520.0
-25.3365634,131.02024670588236,520.0
-25.3372328,131.02024670588236,520.0
-25.3379023,131.02024670588236,520.0
-25.3385718,131.02024670588236,519.0
-25.3392412,131.02024670588236,520.0
-25.3399107,131.02024670588236,521.0
-25.3405802,131.02024670588236,520.0
-25.3412496,131.02024670588236,520.0
-25.3419191,131.02024670588236,521.0
-25.3425886,131.02024670588236,522.0
-25.3432581,131.02024670588236,522.0
-25.3439275,131.02024670588236,521.0
-25.344597,131.02024670588236,521.0
-25.3452665,131.02024670588236,521.0
-25.3459359,131.02024670588236,521.0
-25.3466054,131.02024670588236,521.0
-25.3472749,131.02024670588236,520.0
-25.3479444,131.02024670588236,520.0
-25.3486138,131.02024670588236,521.0
-25.3492833,131.02024670588236,521.0
-25.3499528,131.02024670588236,520.0
-25.3506222,131.02024670588236,520.0
-25.3512917,131.02024670588236,520.0
-25.3519612,131.02024670588236,520.0
-25.3526306,131.02024670588236,521.0
-25.3533001,131.02024670588236,521.0
-25.3539696,131.02024670588236,520.0
-25.3546391,131.02024670588236,522.0
-25.3553085,131.02024670588236,522.0
-25.355978,131.02024670588236,522.0
-25.333216,131.02152788235293,518.0
-25.3338855,131.02152788235293,519.0
-25.3345549,131.02152788235293,520.0
-25.3352244,131.02152788235293,521.0
-25.3358939,131.02152788235293,520.0
-25.3365634,131.02152788235293,520.0
-25.3372328,131.02152788235293,519.0
-25.3379023,131.02152788235293,520.0
-25.3385718,131.02152788235293,521.0
-25.3392412,131.02152788235293,522.0
-25.3399107,131.02152788235293,521.0
-25.3405802,131.02152788235293,521.0
-25.3412496,131.02152788235293,520.0
-25.3419191,131.02152788235293,520.0
-25.3425886,131.02152788235293,521.0
-25.3432581,131.02152788235293,521.0
-25.3439275,131.02152788235293,519.0
-25.344597,131.02152788235293,520.0
-25.3452665,131.02152788235293,521.0
