Lat(X),Lng(Y),Elevation(Z)
35.3106,138.67739999999998,1039.0
35.3135412,138.67739999999998,1085.0
35.3164824,138.67739999999998,1126.0
35.3194235,138.67739999999998,1175.0
35.3223647,138.67739999999998,1201.0
35.3253059,138.67739999999998,1241.0
35.3282471,138.67739999999998,1258.0
35.3311882,138.67739999999998,1302.0
35.3341294,138.67739999999998,1342.0
35.3370706,138.67739999999998,1368.0
35.3400118,138.67739999999998,1399.0
35.3429529,138.67739999999998,1426.0
35.3458941,138.67739999999998,1436.0
35.3488353,138.67739999999998,1457.0
35.3517765,138.67739999999998,1463.0
35.3547176,138.67739999999998,1480.0
35.3576588,138.67739999999998,1484.0
35.3606,138.67739999999998,1515.0
35.3635412,138.67739999999998,1555.0
35.3664824,138.67739999999998,1592.0
35.3694235,138.67739999999998,1584.0
35.3723647,138.67739999999998,1613.0
35.3753059,138.67739999999998,1636.0
35.3782471,138.67739999999998,1638.0
35.3811882,138.67739999999998,1652.0
35.3841294,138.67739999999998,1647.0
35.3870706,138.67739999999998,1630.0
35.3900118,138.67739999999998,1633.0
35.3929529,138.67739999999998,1639.0
35.3958941,138.67739999999998,1628.0
35.3988353,138.67739999999998,1605.0
35.4017765,138.67739999999998,1591.0
35.4047176,138.67739999999998,1581.0
35.4076588,138.67739999999998,1580.0
35.4106,138.67739999999998,1529.0
35.3106,138.68034117647056,1080.0
35.3135412,138.68034117647056,1119.0
35.3164824,138.68034117647056,1163.0
35.3194235,138.68034117647056,1216.0
35.3223647,138.68034117647056,1238.0
35.3253059,138.68034117647056,1270.0
35.3282471,138.68034117647056,1310.0
35.3311882,138.68034117647056,1329.0
35.3341294,138.68034117647056,1381.0
35.3370706,138.68034117647056,1424.0
35.3400118,138.68034117647056,1462.0
35.3429529,138.68034117647056,1484.0
35.3458941,138.68034117647056,1496.0
35.3488353,138.68034117647056,1509.0
35.3517765,138.68034117647056,1508.0
35.3547176,138.68034117647056,1536.0
35.3576588,138.68034117647056,1534.0
35.3606,138.68034117647056,1560.0
35.3635412,138.68034117647056,1594.0
35.3664824,138.68034117647056,1627.0
35.3694235,138.68034117647056,1637.0
35.3723647,138.68034117647056,1676.0
35.3753059,138.68034117647056,1693.0
35.3782471,138.68034117647056,1695.0
35.3811882,138.68034117647056,1701.0
35.3841294,138.68034117647056,1692.0
35.3870706,138.68034117647056,1678.0
35.3900118,138.68034117647056,1674.0
35.3929529,138.68034117647056,1671.0
35.3958941,138.68034117647056,1659.0
35.3988353,138.68034117647056,1643.0
35.4017765,138.68034117647056,1639.0
35.4047176,138.68034117647056,1619.0
35.4076588,138.68034117647056,1616.0
35.4106,138.68034117647056,1590.0
35.3106,138.68328235294115,1121.0
35.3135412,138.68328235294115,1165.0
35.3164824,138.68328235294115,1205.0
35.3194235,138.68328235294115,1236.0
35.3223647,138.68328235294115,1265.0
35.3253059,138.68328235294115,1313.0
35.3282471,138.68328235294115,1339.0
35.3311882,138.68328235294115,1363.0
35.3341294,138.68328235294115,1404.0
35.3370706,138.68328235294115,1460.0
35.3400118,138.68328235294115,1508.0
35.3429529,138.68328235294115,1551.0
35.3458941,138.68328235294115,1562.0
35.3488353,138.68328235294115,1581.0
35.3517765,138.68328235294115,1582.0
35.3547176,138.68328235294115,1598.0
35.3576588,138.68328235294115,1601.0
35.3606,138.68328235294115,1625.0
35.3635412,138.68328235294115,1655.0
35.3664824,138.68328235294115,1688.0
35.3694235,138.68328235294115,1702.0
35.3723647,138.68328235294115,1746.0
35.3753059,138.68328235294115,1770.0
35.3782471,138.68328235294115,1770.0
35.3811882,138.68328235294115,1772.0
35.3841294,138.68328235294115,1751.0
35.3870706,138.68328235294115,1738.0
35.3900118,138.68328235294115,1764.0
35.3929529,138.68328235294115,1732.0
35.3958941,138.68328235294115,1721.0
35.3988353,138.68328235294115,1712.0
35.4017765,138.68328235294115,1684.0
