Lat(X),Lng(Y),Elevation(Z)
36.1102564,-112.49871794871795,1820.0
36.1051282,-112.49871794871795,1778.0
36.1,-112.49871794871795,1784.0
36.3,-112.48846153846154,1047.0
36.2948718,-112.48846153846154,1305.0
36.2897436,-112.48846153846154,1254.0
36.2846154,-112.48846153846154,896.0
36.2794872,-112.48846153846154,1373.0
36.274359,-112.48846153846154,1299.0
36.2692308,-112.48846153846154,1408.0
36.2641026,-112.48846153846154,1368.0
36.2589744,-112.48846153846154,1314.0
36.2538462,-112.48846153846154,1423.0
36.2487179,-112.48846153846154,1379.0
36.2435897,-112.48846153846154,798.0
36.2384615,-112.48846153846154,869.0
36.2333333,-112.48846153846154,1390.0
36.2282051,-112.48846153846154,1289.0
36.2230769,-112.48846153846154,1357.0
36.2179487,-112.48846153846154,1504.0
36.2128205,-112.48846153846154,1662.0
36.2076923,-112.48846153846154,1889.0
36.2025641,-112.48846153846154,1938.0
36.1974359,-112.48846153846154,1938.0
36.1923077,-112.48846153846154,1949.0
36.1871795,-112.48846153846154,1940.0
36.1820513,-112.48846153846154,1932.0
36.1769231,-112.48846153846154,1929.0
36.1717949,-112.48846153846154,1904.0
36.1666667,-112.48846153846154,1909.0
36.1615385,-112.48846153846154,1893.0
36.1564103,-112.48846153846154,1869.0
36.1512821,-112.48846153846154,1868.0
36.1461538,-112.48846153846154,1852.0
36.1410256,-112.48846153846154,1872.0
36.1358974,-112.48846153846154,1875.0
36.1307692,-112.48846153846154,1856.0
36.125641,-112.48846153846154,1828.0
36.1205128,-112.48846153846154,1826.0
36.1153846,-112.48846153846154,1837.0
36.1102564,-112.48846153846154,1814.0
36.1051282,-112.48846153846154,1808.0
36.1,-112.48846153846154,1808.0
36.3,-112.47820512820513,1166.0
36.2948718,-112.47820512820513,1408.0
36.2897436,-112.47820512820513,1463.0
36.2846154,-112.47820512820513,1260.0
36.2794872,-112.47820512820513,1411.0
36.274359,-112.47820512820513,1368.0
36.2692308,-112.47820512820513,1358.0
36.2641026,-112.47820512820513,1359.0
36.2589744,-112.47820512820513,1514.0
36.2538462,-112.47820512820513,1485.0
36.2487179,-112.47820512820513,1395.0
36.2435897,-112.47820512820513,885.0
36.2384615,-112.47820512820513,780.0
36.2333333,-112.47820512820513,1097.0
36.2282051,-112.47820512820513,1317.0
36.2230769,-112.47820512820513,1490.0
36.2179487,-112.47820512820513,1646.0
36.2128205,-112.47820512820513,1772.0
36.2076923,-112.47820512820513,1773.0
36.2025641,-112.47820512820513,1761.0
36.1974359,-112.47820512820513,1669.0
36.1923077,-112.47820512820513,1574.0
36.1871795,-112.47820512820513,1524.0
36.1820513,-112.47820512820513,1553.0
36.1769231,-112.47820512820513,1903.0
36.1717949,-112.47820512820513,1933.0
36.1666667,-112.47820512820513,1919.0
36.1615385,-112.47820512820513,1901.0
36.1564103,-112.47820512820513,1892.0
36.1512821,-112.47820512820513,1884.0
36.1461538,-112.47820512820513,1869.0
36.1410256,-112.47820512820513,1871.0
36.1358974,-112.47820512820513,1866.0
36.1307692,-112.47820512820513,1865.0
36.125641,-112.47820512820513,1863.0
36.1205128,-112.47820512820513,1849.0
36.1153846,-112.47820512820513,1821.0
36.1102564,-112.47820512820513,1809.0
36.1051282,-112.47820512820513,1800.0
36.1,-112.47820512820513,1814.0
36.3,-112.46794871794872,1008.0
36.2948718,-112.46794871794872,1363.0
36.2897436,-112.46794871794872,1488.0
36.2846154,-112.46794871794872,1417.0
36.2794872,-112.46794871794872,1494.0
36.274359,-112.46794871794872,1542.0
36.2692308,-112.46794871794872,1537.0
36.2641026,-112.46794871794872,1512.0
36.2589744,-112.46794871794872,1512.0
36.2538462,-112.46794871794872,1338.0
36.2487179,-112.46794871794872,821.0
36.2435897,-112.46794871794872,896.0
36.2384615,-112.46794871794872,695.0
36.2333333,-112.46794871794872,964.0
36.2282051,-112.46794871794872,1298.0
36.2230769,-112.46794871794872,1504.0
36.2179487,-112.46794871794872,1341.0
36.2128205,-112.46794871794872,1381.0
36.2076923,-112.46794871794872,1484.0
36.2025641,-112.46794871794872,1258.0
36.1974359,-112.46794871794872,1407.0
36.1923077,-112.46794871794872,1314.0
36.1871795,-112.46794871794872,1398.0
36.1820513,-112.46794871794872,1494.0
36.1769231,-112.46794871794872,1410.0
36.1717949,-112.46794871794872,1491.0
36.1666667,-112.46794871794872,1456.0
36.1615385,-112.46794871794872,1502.0
36.1564103,-112.46794871794872,1694.0
36.1512821,-112.46794871794872,1897.0
36.1461538,-112.46794871794872,1880.0
36.1410256,-112.46794871794872,1886.0
36.1358974,-112.46794871794872,1880.0
36.1307692,-112.46794871794872,1856.0
36.125641,-112.46794871794872,1833.0
36.1205128,-112.46794871794872,1840.0
36.1153846,-112.46794871794872,1836.0
36.1102564,-112.46794871794872,1835.0
36.1051282,-112.46794871794872,1811.0
36.1,-112.46794871794872,1825.0
36.3,-112.45769230769231,1493.0
36.2948718,-112.45769230769231,1468.0
36.2897436,-112.45769230769231,1627.0
36.2846154,-112.45769230769231,1645.0
36.2794872,-112.45769230769231,1644.0
36.274359,-112.45769230769231,1645.0
36.2692308,-112.45769230769231,1588.0
36.2641026,-112.45769230769231,1562.0
36.2589744,-112.45769230769231,1535.0
36.2538462,-112.45769230769231,972.0
36.2487179,-112.45769230769231,1326.0
36.2435897,-112.45769230769231,1359.0
36.2384615,-112.45769230769231,894.0
36.2333333,-112.45769230769231,734.0
36.2282051,-112.45769230769231,667.0
36.2230769,-112.45769230769231,768.0
36.2179487,-112.45769230769231,797.0
36.2128205,-112.45769230769231,822.0
36.2076923,-112.45769230769231,760.0
36.2025641,-112.45769230769231,709.0
36.1974359,-112.45769230769231,939.0
36.1923077,-112.45769230769231,1218.0
36.1871795,-112.45769230769231,1218.0
36.1820513,-112.45769230769231,1334.0
36.1769231,-112.45769230769231,1226.0
36.1717949,-112.45769230769231,1209.0
36.1666667,-112.45769230769231,1206.0
36.1615385,-112.45769230769231,1313.0
36.1564103,-112.45769230769231,1508.0
36.1512821,-112.45769230769231,1893.0
36.1461538,-112.45769230769231,1903.0
36.1410256,-112.45769230769231,1894.0
36.1358974,-112.45769230769231,1875.0
36.1307692,-112.45769230769231,1847.0
36.125641,-112.45769230769231,1862.0
36.1205128,-112.45769230769231,1859.0
36.1153846,-112.45769230769231,1843.0
36.1102564,-112.45769230769231,1846.0
36.1051282,-112.45769230769231,1845.0
36.1,-112.45769230769231,1832.0
36.3,-112.4474358974359,1656.0
36.2948718,-112.4474358974359,1639.0
36.2897436,-112.4474358974359,2011.0
36.2846154,-112.4474358974359,2036.0
36.2794872,-112.4474358974359,2024.0
36.274359,-112.4474358974359,1736.0
36.2692308,-112.4474358974359,1595.0
36.2641026,-112.4474358974359,1494.0
36.2589744,-112.4474358974359,1381.0
36.2538462,-112.4474358974359,1404.0
36.2487179,-112.4474358974359,1514.0
36.2435897,-112.4474358974359,1371.0
36.2384615,-112.4474358974359,1230.0
36.2333333,-112.4474358974359,1021.0
36.2282051,-112.4474358974359,977.0
36.2230769,-112.4474358974359,1159.0
36.2179487,-112.4474358974359,953.0
36.2128205,-112.4474358974359,1017.0
36.2076923,-112.4474358974359,1312.0
36.2025641,-112.4474358974359,1125.0
36.1974359,-112.4474358974359,739.0
36.1923077,-112.4474358974359,1067.0
36.1871795,-112.4474358974359,1302.0
36.1820513,-112.4474358974359,1234.0
36.1769231,-112.4474358974359,1334.0
36.1717949,-112.4474358974359,1380.0
36.1666667,-112.4474358974359,1326.0
36.1615385,-112.4474358974359,1491.0
36.1564103,-112.4474358974359,1536.0
36.1512821,-112.4474358974359,1882.0
36.1461538,-112.4474358974359,1900.0
36.1410256,-112.4474358974359,1883.0
36.1358974,-112.4474358974359,1889.0
36.1307692,-112.4474358974359,1874.0
36.125641,-112.4474358974359,1878.0
36.1205128,-112.4474358974359,1864.0
36.1153846,-112.4474358974359,1849.0
36.1102564,-112.4474358974359,1858.0
36.1051282,-112.4474358974359,1862.0
36.1,-112.4474358974359,1833.0
36.3,-112.43717948717949,1703.0
36.2948718,-112.43717948717949,2043.0
36.2897436,-112.43717948717949,2081.0
36.2846154,-112.43717948717949,2065.0
36.2794872,-112.43717948717949,2062.0
36.274359,-112.43717948717949,1742.0
36.2692308,-112.43717948717949,1548.0
36.2641026,-112.43717948717949,1564.0
36.2589744,-112.43717948717949,1523.0
36.2538462,-112.43717948717949,1569.0
36.2487179,-112.43717948717949,1583.0
36.2435897,-112.43717948717949,1480.0
36.2384615,-112.43717948717949,1395.0
36.2333333,-112.43717948717949,1563.0
36.2282051,-112.43717948717949,1477.0
36.2230769,-112.43717948717949,1500.0
36.2179487,-112.43717948717949,1413.0
36.2128205,-112.43717948717949,1449.0
36.2076923,-112.43717948717949,1381.0
36.2025641,-112.43717948717949,774.0
36.1974359,-112.43717948717949,878.0
36.1923077,-112.43717948717949,1226.0
36.1871795,-112.43717948717949,1306.0
36.1820513,-112.43717948717949,1397.0
36.1769231,-112.43717948717949,1373.0
36.1717949,-112.43717948717949,1487.0
36.1666667,-112.43717948717949,1479.0
36.1615385,-112.43717948717949,1483.0
36.1564103,-112.43717948717949,1488.0
36.1512821,-112.43717948717949,1696.0
36.1461538,-112.43717948717949,1914.0
36.1410256,-112.43717948717949,1914.0
36.1358974,-112.43717948717949,1897.0
36.1307692,-112.43717948717949,1884.0
36.125641,-112.43717948717949,1884.0
36.1205128,-112.43717948717949,1879.0
36.1153846,-112.43717948717949,1874.0
36.1102564,-112.43717948717949,1873.0
36.1051282,-112.43717948717949,1860.0
36.1,-112.43717948717949,1842.0
36.3,-112.42692307692307,1715.0
36.2948718,-112.42692307692307,2091.0
36.2897436,-112.42692307692307,2099.0
36.2846154,-112.42692307692307,2091.0
36.2794872,-112.42692307692307,1984.0
36.274359,-112.42692307692307,1701.0
36.2692308,-112.42692307692307,1758.0
36.2641026,-112.42692307692307,1719.0
36.2589744,-112.42692307692307,1724.0
36.2538462,-112.42692307692307,1949.0
36.2487179,-112.42692307692307,1642.0
36.2435897,-112.42692307692307,1357.0
36.2384615,-112.42692307692307,1076.0
36.2333333,-112.42692307692307,893.0
36.2282051,-112.42692307692307,870.0
36.2230769,-112.42692307692307,824.0
36.2179487,-112.42692307692307,845.0
36.2128205,-112.42692307692307,770.0
36.2076923,-112.42692307692307,787.0
36.2025641,-112.42692307692307,720.0
36.1974359,-112.42692307692307,1080.0
36.1923077,-112.42692307692307,1194.0
36.1871795,-112.42692307692307,1340.0
36.1820513,-112.42692307692307,1483.0
36.1769231,-112.42692307692307,1542.0
36.1717949,-112.42692307692307,1596.0
36.1666667,-112.42692307692307,1570.0
36.1615385,-112.42692307692307,1526.0
36.1564103,-112.42692307692307,1890.0
36.1512821,-112.42692307692307,1876.0
36.1461538,-112.42692307692307,1928.0
36.1410256,-112.42692307692307,1905.0
36.1358974,-112.42692307692307,1908.0
36.1307692,-112.42692307692307,1906.0
36.125641,-112.42692307692307,1898.0
36.1205128,-112.42692307692307,1900.0
36.1153846,-112.42692307692307,1891.0
36.1102564,-112.42692307692307,1871.0
36.1051282,-112.42692307692307,1864.0
36.1,-112.42692307692307,1861.0
36.3,-112.41666666666667,2144.0
36.2948718,-112.41666666666667,2136.0
36.2897436,-112.41666666666667,2111.0
36.2846154,-112.41666666666667,2098.0
36.2794872,-112.41666666666667,2095.0
36.274359,-112.41666666666667,2095.0
36.2692308,-112.41666666666667,2088.0
36.2641026,-112.41666666666667,1871.0
36.2589744,-112.41666666666667,1382.0
36.2538462,-112.41666666666667,1414.0
36.2487179,-112.41666666666667,977.0
36.2435897,-112.41666666666667,943.0
36.2384615,-112.41666666666667,913.0
36.2333333,-112.41666666666667,677.0
36.2282051,-112.41666666666667,858.0
36.2230769,-112.41666666666667,945.0
36.2179487,-112.41666666666667,996.0
36.2128205,-112.41666666666667,795.0
36.2076923,-112.41666666666667,1236.0
36.2025641,-112.41666666666667,1311.0
36.1974359,-112.41666666666667,1266.0
36.1923077,-112.41666666666667,1443.0
36.1871795,-112.41666666666667,1467.0
36.1820513,-112.41666666666667,1402.0
36.1769231,-112.41666666666667,1540.0
36.1717949,-112.41666666666667,1945.0
36.1666667,-112.41666666666667,1922.0
36.1615385,-112.41666666666667,1875.0
36.1564103,-112.41666666666667,1945.0
36.1512821,-112.41666666666667,1940.0
36.1461538,-112.41666666666667,1940.0
36.1410256,-112.41666666666667,1922.0
36.1358974,-112.41666666666667,1929.0
36.1307692,-112.41666666666667,1917.0
36.125641,-112.41666666666667,1904.0
36.1205128,-112.41666666666667,1898.0
36.1153846,-112.41666666666667,1888.0
36.1102564,-112.41666666666667,1875.0
36.1051282,-112.41666666666667,1878.0
36.1,-112.41666666666667,1871.0
36.3,-112.40641025641025,2168.0
36.2948718,-112.40641025641025,2157.0
36.2897436,-112.40641025641025,2144.0
36.2846154,-112.40641025641025,2140.0
36.2794872,-112.40641025641025,2119.0
36.274359,-112.40641025641025,2034.0
36.2692308,-112.40641025641025,1681.0
36.2641026,-112.40641025641025,1094.0
36.2589744,-112.40641025641025,958.0
36.2538462,-112.40641025641025,890.0
36.2487179,-112.40641025641025,931.0
36.2435897,-112.40641025641025,824.0
36.2384615,-112.40641025641025,667.0
36.2333333,-112.40641025641025,882.0
36.2282051,-112.40641025641025,1322.0
36.2230769,-112.40641025641025,1456.0
36.2179487,-112.40641025641025,1366.0
36.2128205,-112.40641025641025,964.0
36.2076923,-112.40641025641025,943.0
36.2025641,-112.40641025641025,1178.0
36.1974359,-112.40641025641025,1431.0
36.1923077,-112.40641025641025,1401.0
36.1871795,-112.40641025641025,1466.0
36.1820513,-112.40641025641025,1622.0
36.1769231,-112.40641025641025,1981.0
36.1717949,-112.40641025641025,1972.0
36.1666667,-112.40641025641025,1983.0
36.1615385,-112.40641025641025,1957.0
36.1564103,-112.40641025641025,1970.0
36.1512821,-112.40641025641025,1963.0
36.1461538,-112.40641025641025,1956.0
36.1410256,-112.40641025641025,1939.0
36.1358974,-112.40641025641025,1938.0
36.1307692,-112.40641025641025,1937.0
36.125641,-112.40641025641025,1920.0
36.1205128,-112.40641025641025,1893.0
36.1153846,-112.40641025641025,1895.0
36.1102564,-112.40641025641025,1897.0
36.1051282,-112.40641025641025,1901.0
36.1,-112.40641025641025,1898.0
36.3,-112.39615384615385,2215.0
36.2948718,-112.39615384615385,2205.0
36.2897436,-112.39615384615385,2194.0
36.2846154,-112.39615384615385,2088.0
36.2794872,-112.39615384615385,1797.0
36.274359,-112.39615384615385,1285.0
36.2692308,-112.39615384615385,1078.0
36.2641026,-112.39615384615385,1132.0
36.2589744,-112.39615384615385,1337.0
36.2538462,-112.39615384615385,1263.0
36.2487179,-112.39615384615385,1006.0
36.2435897,-112.39615384615385,687.0
36.2384615,-112.39615384615385,968.0
36.2333333,-112.39615384615385,891.0
36.2282051,-112.39615384615385,1085.0
36.2230769,-112.39615384615385,1628.0
36.2179487,-112.39615384615385,1467.0
36.2128205,-112.39615384615385,1435.0
36.2076923,-112.39615384615385,1434.0
36.2025641,-112.39615384615385,1533.0
36.1974359,-112.39615384615385,1372.0
36.1923077,-112.39615384615385,1605.0
36.1871795,-112.39615384615385,1823.0
36.1820513,-112.39615384615385,1997.0
36.1769231,-112.39615384615385,1996.0
36.1717949,-112.39615384615385,1991.0
36.1666667,-112.39615384615385,1993.0
36.1615385,-112.39615384615385,1976.0
36.1564103,-112.39615384615385,1979.0
36.1512821,-112.39615384615385,1978.0
36.1461538,-112.39615384615385,1961.0
36.1410256,-112.39615384615385,1949.0
36.1358974,-112.39615384615385,1924.0
36.1307692,-112.39615384615385,1936.0
36.125641,-112.39615384615385,1912.0
36.1205128,-112.39615384615385,1927.0
36.1153846,-112.39615384615385,1927.0
36.1102564,-112.39615384615385,1917.0
36.1051282,-112.39615384615385,1898.0
